case,turfs,round,phase,allocations,allocated_bytes,elapsed_ns,state_hash,consumer_work,consumer_chunks
remove16,10000,2,consumer,1,79872,179200,7e453818ec292d45,0,0
remove16,10000,3,mutation,0,0,600,7e453818ec292d45,0,0
remove16,10000,3,consumer,1,79872,183600,7e453818ec292d45,0,0
remove75pct,10000,1,mutation,0,0,256900,b2a97a50d7147839,0,0
remove75pct,10000,1,consumer,0,0,0,b2a97a50d7147839,0,0
remove75pct,10000,2,mutation,0,0,291700,b2a97a50d7147839,0,0
remove75pct,10000,2,consumer,0,0,0,b2a97a50d7147839,0,0
remove75pct,10000,3,mutation,0,0,291000,b2a97a50d7147839,0,0
remove75pct,10000,3,consumer,0,0,0,b2a97a50d7147839,0,0
remove_readd16,10000,1,mutation,2,160304,42400,908226242d2f1705,0,0
remove_readd16,10000,1,consumer,1,80000,209800,908226242d2f1705,0,0
remove_readd16,10000,2,mutation,2,160304,7700,908226242d2f1705,0,0
remove_readd16,10000,2,consumer,1,80000,152800,908226242d2f1705,0,0
remove_readd16,10000,3,mutation,2,160304,36500,908226242d2f1705,0,0
remove_readd16,10000,3,consumer,1,80000,152100,908226242d2f1705,0,0
remove_burst64,10000,1,mutation,0,0,9900,93f3108e56126145,0,0
remove_burst64,10000,1,consumer,1,75904,178600,93f3108e56126145,0,0
remove_burst64,10000,2,mutation,0,0,9500,93f3108e56126145,0,0
remove_burst64,10000,2,consumer,1,75904,177800,93f3108e56126145,0,0
remove_burst64,10000,3,mutation,0,0,15100,93f3108e56126145,0,0
remove_burst64,10000,3,consumer,1,75904,291200,93f3108e56126145,0,0
first_chunk,10000,1,mutation,0,0,600,7e453818ec292d45,1,1
first_chunk,10000,1,consumer,1,24,1200,7e453818ec292d45,1,1
first_chunk,10000,2,mutation,0,0,800,7e453818ec292d45,1,1
first_chunk,10000,2,consumer,1,24,1300,7e453818ec292d45,1,1
first_chunk,10000,3,mutation,0,0,400,7e453818ec292d45,1,1
first_chunk,10000,3,consumer,1,24,500,7e453818ec292d45,1,1
full_stage,10000,1,mutation,0,0,800,7e453818ec292d45,10000,157
full_stage,10000,1,consumer,2,48,334000,7e453818ec292d45,10000,157
full_stage,10000,2,mutation,0,0,600,7e453818ec292d45,10000,157
full_stage,10000,2,consumer,2,48,264600,7e453818ec292d45,10000,157
full_stage,10000,3,mutation,0,0,600,7e453818ec292d45,10000,157
full_stage,10000,3,consumer,2,48,291500,7e453818ec292d45,10000,157
burst_first_chunk,10000,1,mutation,0,0,9200,93f3108e56126145,1,1
burst_first_chunk,10000,1,consumer,1,24,600,93f3108e56126145,1,1
burst_first_chunk,10000,2,mutation,0,0,9500,93f3108e56126145,1,1
burst_first_chunk,10000,2,consumer,1,24,800,93f3108e56126145,1,1
burst_first_chunk,10000,3,mutation,0,0,12300,93f3108e56126145,1,1
burst_first_chunk,10000,3,consumer,1,24,1000,93f3108e56126145,1,1
burst_full_stage,10000,1,mutation,0,0,10300,93f3108e56126145,10000,157
burst_full_stage,10000,1,consumer,2,48,265100,93f3108e56126145,10000,157
burst_full_stage,10000,2,mutation,0,0,9600,93f3108e56126145,10000,157
burst_full_stage,10000,2,consumer,2,48,265900,93f3108e56126145,10000,157
burst_full_stage,10000,3,mutation,0,0,9400,93f3108e56126145,10000,157
burst_full_stage,10000,3,consumer,2,48,256600,93f3108e56126145,10000,157
initial_read,100000,1,mutation,0,0,200,da18432f50bac8a5,0,0
initial_read,100000,1,consumer,0,0,0,da18432f50bac8a5,0,0
initial_read,100000,2,mutation,0,0,200,da18432f50bac8a5,0,0
initial_read,100000,2,consumer,0,0,0,da18432f50bac8a5,0,0
initial_read,100000,3,mutation,0,0,300,da18432f50bac8a5,0,0
initial_read,100000,3,consumer,0,0,100,da18432f50bac8a5,0,0
add16,100000,1,mutation,2,1600304,159600,9a872bd14ec26dc5,0,0
add16,100000,1,consumer,0,0,0,9a872bd14ec26dc5,0,0
add16,100000,2,mutation,2,1600304,151200,9a872bd14ec26dc5,0,0
add16,100000,2,consumer,0,0,0,9a872bd14ec26dc5,0,0
add16,100000,3,mutation,2,1600304,168500,9a872bd14ec26dc5,0,0
add16,100000,3,consumer,0,0,100,9a872bd14ec26dc5,0,0
remove16,100000,1,mutation,0,0,900,3521712e2f9b2245,0,0
remove16,100000,1,consumer,1,799872,2654700,3521712e2f9b2245,0,0
remove16,100000,2,mutation,0,0,1100,3521712e2f9b2245,0,0
remove16,100000,2,consumer,1,799872,2362700,3521712e2f9b2245,0,0
remove16,100000,3,mutation,0,0,1000,3521712e2f9b2245,0,0
remove16,100000,3,consumer,1,799872,2196800,3521712e2f9b2245,0,0
remove75pct,100000,1,mutation,0,0,4955300,1f60c627f7a3d805,0,0
remove75pct,100000,1,consumer,0,0,100,1f60c627f7a3d805,0,0
remove75pct,100000,2,mutation,0,0,4414500,1f60c627f7a3d805,0,0
remove75pct,100000,2,consumer,0,0,100,1f60c627f7a3d805,0,0
remove75pct,100000,3,mutation,0,0,4876600,1f60c627f7a3d805,0,0
remove75pct,100000,3,consumer,0,0,100,1f60c627f7a3d805,0,0
remove_readd16,100000,1,mutation,2,1600304,187100,ab919b3f5221cba5,0,0
remove_readd16,100000,1,consumer,1,800000,2120100,ab919b3f5221cba5,0,0
remove_readd16,100000,2,mutation,2,1600304,264500,ab919b3f5221cba5,0,0
remove_readd16,100000,2,consumer,1,800000,3290900,ab919b3f5221cba5,0,0
remove_readd16,100000,3,mutation,2,1600304,255600,ab919b3f5221cba5,0,0
remove_readd16,100000,3,consumer,1,800000,3512700,ab919b3f5221cba5,0,0
remove_burst64,100000,1,mutation,0,0,26700,47a1e818b41a1ba5,0,0
remove_burst64,100000,1,consumer,1,795904,7256500,47a1e818b41a1ba5,0,0
remove_burst64,100000,2,mutation,0,0,20600,47a1e818b41a1ba5,0,0
remove_burst64,100000,2,consumer,1,795904,2670700,47a1e818b41a1ba5,0,0
remove_burst64,100000,3,mutation,0,0,22200,47a1e818b41a1ba5,0,0
remove_burst64,100000,3,consumer,1,795904,4839700,47a1e818b41a1ba5,0,0
first_chunk,100000,1,mutation,0,0,1000,3521712e2f9b2245,1,1
first_chunk,100000,1,consumer,1,24,2200,3521712e2f9b2245,1,1
first_chunk,100000,2,mutation,0,0,1000,3521712e2f9b2245,1,1
first_chunk,100000,2,consumer,1,24,2100,3521712e2f9b2245,1,1
first_chunk,100000,3,mutation,0,0,1000,3521712e2f9b2245,1,1
first_chunk,100000,3,consumer,1,24,2900,3521712e2f9b2245,1,1
full_stage,100000,1,mutation,0,0,800,3521712e2f9b2245,100000,1563
full_stage,100000,1,consumer,2,48,5642500,3521712e2f9b2245,100000,1563
